FileType,RowId,ActivityId,Time,LatitudeDegrees,LongitudeDegrees,DistanceMeters,AltitudeMeters,Speed,HeartRate,Cadence,Watts,Temperature
fit,1,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:07,50.8624666929245,0.5904752388596535,0.00273,105.39999999999998,9.8316,77.0,11.0,0,14
fit,2,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:08,50.862443475052714,0.5904481653124094,0.0056,105.39999999999998,10.3176,77.0,19.0,0,14
fit,3,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:09,50.862412713468075,0.5904148891568184,0.00996,105.39999999999998,15.7032,78.0,19.0,0,14
fit,4,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:10,50.86237424053252,0.5903763324022293,0.01486,105.39999999999998,17.64,78.0,45.0,129,14
fit,5,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:11,50.86233023554087,0.5903318244963884,0.020239999999999998,105.39999999999998,19.3644,78.0,56.0,109,14
fit,6,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:12,50.862282291054726,0.5902785994112492,0.02646,104.79999999999995,22.3956,78.0,63.0,81,14
fit,7,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:13,50.86222764104605,0.5902221892029047,0.03361,105.20000000000005,25.7544,82.0,65.0,213,14
fit,8,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:14,50.86217014119029,0.5901630967855453,0.04081,105.0,25.9272,84.0,75.0,96,14
fit,9,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:15,50.86211163550615,0.5901055969297886,0.04814,106.39999999999998,26.37,84.0,75.0,106,14
fit,10,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:16,50.86205036379397,0.5900533776730299,0.05557,108.20000000000005,26.737199999999998,87.0,75.0,137,14
fit,11,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:17,50.861990014091134,0.5900017451494932,0.06294,107.79999999999995,26.553600000000003,87.0,76.0,106,14
fit,12,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:18,50.8619349449873,0.5899451673030853,0.07019,107.20000000000005,26.1036,87.0,76.0,102,14
fit,13,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:19,50.86188230663538,0.5898858234286308,0.07728,105.39999999999998,25.502399999999998,87.0,76.0,102,14
fit,14,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:20,50.86182497441769,0.5898325983434916,0.08436,105.39999999999998,25.502399999999998,91.0,68.0,102,14
fit,15,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:21,50.861765295267105,0.5897821392863989,0.09159,105.0,26.017200000000003,92.0,74.0,173,14
fit,16,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:22,50.86170796304941,0.5897248908877373,0.09894,104.39999999999998,26.46,94.0,77.0,112,14
fit,17,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:23,50.86164987646043,0.5896690674126148,0.10643999999999999,104.0,27.018,96.0,77.0,98,14
fit,18,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:24,50.8615858387202,0.5896305106580257,0.11411,104.0,27.594,96.0,77.0,106,14
fit,19,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:25,50.86151878349483,0.5895981565117836,0.12179999999999999,103.79999999999995,27.6948,97.0,79.0,107,14
fit,20,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:26,50.86145340465009,0.5895671434700489,0.12931,104.60000000000002,27.018,99.0,79.0,88,14
fit,21,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:27,50.8613891992718,0.589539147913456,0.13666,103.79999999999995,26.46,100.0,78.0,83,14
fit,22,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:28,50.861324993893504,0.5895184446126223,0.14368999999999998,103.39999999999998,25.3332,100.0,78.0,40,14
fit,23,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:29,50.8612594474107,0.589511152356863,0.15083000000000002,102.20000000000005,25.6716,101.0,56.0,40,14
fit,24,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:30,50.86119079962373,0.5895135831087828,0.15803,103.0,25.9272,101.0,73.0,42,14
fit,25,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:31,50.86112206801772,0.5895182769745588,0.1653,104.20000000000005,26.1936,101.0,76.0,204,14
fit,26,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:32,50.86105358786881,0.5895219650119543,0.17273,104.20000000000005,26.737199999999998,102.0,76.0,222,14
fit,27,_garminoriginalfilewithstagespowermeter,2020/02/01 08:37:33,50.86098502390087,0.5895248148590326,0.18034,103.60000000000002,27.3996,102.0,78.0,163,14
