FileType,RowId,ActivityId,Time,LatitudeDegrees,LongitudeDegrees,DistanceMeters,AltitudeMeters,HeartRate,Cadence,Watts,Speed
gpx,0000001,_stravawithoutpowerexample,2019-12-08 10:52:13,50.8623170,0.5909860,,111.2,95,0,,
gpx,0000002,_stravawithoutpowerexample,2019-12-08 10:52:16,50.8623680,0.5909040,,111.2,99,0,,
gpx,0000003,_stravawithoutpowerexample,2019-12-08 10:52:17,50.8623870,0.5908670,,112.4,100,0,,
gpx,0000004,_stravawithoutpowerexample,2019-12-08 10:52:18,50.8624060,0.5908260,,111.4,102,0,,
gpx,0000005,_stravawithoutpowerexample,2019-12-08 10:52:19,50.8624290,0.5907900,,111.8,104,0,,
gpx,0000006,_stravawithoutpowerexample,2019-12-08 10:52:21,50.8624710,0.5907230,,111.4,107,0,,
gpx,0000007,_stravawithoutpowerexample,2019-12-08 10:52:25,50.8625000,0.5905740,,110.8,108,0,,
gpx,0000008,_stravawithoutpowerexample,2019-12-08 10:52:27,50.8624840,0.5904900,,110.8,106,0,,
gpx,0000009,_stravawithoutpowerexample,2019-12-08 10:52:29,50.8624440,0.5903780,,111.0,105,0,,
gpx,0000010,_stravawithoutpowerexample,2019-12-08 10:52:30,50.8624080,0.5903310,,111.0,105,0,,
gpx,0000011,_stravawithoutpowerexample,2019-12-08 10:52:32,50.8623160,0.5902360,,110.4,104,64,,
gpx,0000012,_stravawithoutpowerexample,2019-12-08 10:52:33,50.8622640,0.5901890,,110.0,104,64,,
gpx,0000013,_stravawithoutpowerexample,2019-12-08 10:52:39,50.8619320,0.5898930,,110.2,103,60,,
gpx,0000014,_stravawithoutpowerexample,2019-12-08 10:52:43,50.8617130,0.5896770,,108.4,102,57,,
gpx,0000015,_stravawithoutpowerexample,2019-12-08 10:52:45,50.8615930,0.5896010,,108.6,102,58,,
gpx,0000016,_stravawithoutpowerexample,2019-12-08 10:52:49,50.8613610,0.5894940,,107.2,102,49,,
gpx,0000017,_stravawithoutpowerexample,2019-12-08 10:52:50,50.8613020,0.5894830,,107.4,102,50,,
gpx,0000018,_stravawithoutpowerexample,2019-12-08 10:52:51,50.8612420,0.5894890,,107.6,102,51,,
gpx,0000019,_stravawithoutpowerexample,2019-12-08 10:52:52,50.8611810,0.5894950,,108.4,102,54,,
gpx,0000020,_stravawithoutpowerexample,2019-12-08 10:52:55,50.8609970,0.5895030,,109.2,102,56,,
gpx,0000021,_stravawithoutpowerexample,2019-12-08 10:53:01,50.8606210,0.5894260,,108.6,100,0,,
gpx,0000022,_stravawithoutpowerexample,2019-12-08 10:53:03,50.8604970,0.5893330,,109.4,101,0,,
gpx,0000023,_stravawithoutpowerexample,2019-12-08 10:53:06,50.8603040,0.5891890,,108.6,104,53,,
gpx,0000024,_stravawithoutpowerexample,2019-12-08 10:53:11,50.8599880,0.5889110,,107.6,107,68,,
gpx,0000025,_stravawithoutpowerexample,2019-12-08 10:53:13,50.8598610,0.5887830,,107.2,106,71,,
gpx,0000026,_stravawithoutpowerexample,2019-12-08 10:53:15,50.8597170,0.5886550,,106.4,106,73,,
gpx,0000027,_stravawithoutpowerexample,2019-12-08 10:53:19,50.8594150,0.5883680,,107.2,106,83,,
gpx,0000028,_stravawithoutpowerexample,2019-12-08 10:53:20,50.8593380,0.5883030,,108.8,106,83,,
gpx,0000029,_stravawithoutpowerexample,2019-12-08 10:53:21,50.8592560,0.5882540,,109.2,107,82,,
gpx,0000030,_stravawithoutpowerexample,2019-12-08 10:53:22,50.8591670,0.5882090,,107.4,107,84,,
gpx,0000031,_stravawithoutpowerexample,2019-12-08 10:53:23,50.8590780,0.5881590,,104.8,107,84,,
gpx,0000032,_stravawithoutpowerexample,2019-12-08 10:53:24,50.8589870,0.5881230,,105.0,107,88,,
gpx,0000033,_stravawithoutpowerexample,2019-12-08 10:53:25,50.8589000,0.5880890,,103.8,116,85,,
gpx,0000034,_stravawithoutpowerexample,2019-12-08 10:53:26,50.8588130,0.5880450,,100.6,116,85,,
gpx,0000035,_stravawithoutpowerexample,2019-12-08 10:53:27,50.8587290,0.5879870,,98.6,114,85,,
gpx,0000036,_stravawithoutpowerexample,2019-12-08 10:53:29,50.8585570,0.5878950,,99.2,119,0,,
